yaw,ang_speed, meas_yaw, odom, imu, imu_int, meas_x, meas_y, odom_x, odom_y, time
3.14159,1,2.81984,2.83248,2.74437,2.60958,-0.33,0.11,-0.25596,0.0582858,Fri Jul 29 09:59:38 2022
3.14159,1,2.7785,2.82621,2.70809,2.52733,-0.329,0.125,-0.264694,0.0606995,Fri Jul 29 10:00:51 2022
3.14159,1,2.79159,2.84172,2.71382,2.55481,-0.326,0.119,-0.258742,0.0562027,Fri Jul 29 10:04:57 2022
3.14159,1,2.79758,2.82621,2.68589,2.31656,-0.321,0.115,-0.254876,0.0576191,Fri Jul 29 10:06:02 2022
3.14159,1,2.79936,2.83446,2.74139,2.62273,-0.32,0.114,-0.258548,0.0597158,Fri Jul 29 10:07:03 2022
3.14159,1,2.82812,2.80872,2.72763,2.58868,-0.327,0.106,-0.255107,0.0625258,Fri Jul 29 10:10:47 2022
3.14159,1,2.73278,2.80344,2.66768,2.49437,-0.307,0.133,-0.24881,0.0585484,Fri Jul 29 10:12:32 2022
3.14159,1,2.78636,2.82225,2.67395,2.52163,-0.31,0.115,-0.253421,0.0606187,Fri Jul 29 10:14:29 2022
3.14159,1,2.71195,2.82654,2.67726,2.42411,-0.299,0.137,-0.258587,0.0609798,Fri Jul 29 10:15:39 2022
3.14159,1,2.71083,2.79321,2.67174,2.557,-0.309,0.142,-0.251635,0.0602161,Fri Jul 29 10:17:50 2022
3.14159,1,2.70586,2.82126,2.66428,2.52619,-0.305,0.142,-0.259919,0.0634555,Fri Jul 29 10:18:47 2022
3.14159,1,2.70751,2.81235,2.63945,2.51031,-0.302,0.14,-0.253928,0.062228,Fri Jul 29 10:22:04 2022
3.14159,1,2.73158,2.81103,2.64912,2.48409,-0.306,0.133,-0.252578,0.0620236,Fri Jul 29 10:23:32 2022
3.14159,1,2.7402,2.80872,2.67237,2.57848,-0.311,0.132,-0.255639,0.0632516,Fri Jul 29 10:24:30 2022
3.14159,1,2.70856,2.80278,2.6211,2.19088,-0.305,0.141,-0.253745,0.0664808,Fri Jul 29 10:25:30 2022
3.14159,0.5,0,2.61201,2.42711,1.77873,0,0,-0.23173,0.110353,Fri Jul 29 11:26:09 2022
90,0.25,57.9576,59.3031,53.3706,52.6691,0.174,0.278,0.122814,0.2402
90,0.25,55.8194,58.5277,54.4378,54.2011,0.182,0.268,0.136318,0.228281
90,0.25,55.966,59.1707,54.3399,54.0943,0.181,0.268,0.131145,0.224072
90,0.25,56.9151,59.53,54.66,50.0552,0.172,0.264,0.127688,0.220298
90,0.25,56.1616,60.0406,54.5471,53.8996,0.179,0.267,0.127804,0.225912
90,0.25,56.0593,59.7947,54.9288,52.4216,0.177,0.263,0.125847,0.218688
